title,price,category_id,short_desc,content,image_id,brand_id,deleted_at
60512   D1 Alapozó 5 kg,12080,\N," 

oldószermentes

 
koncentrátum, nagyon kiadós

 
pormegkötő

 
emissziószegény, EC1-PLUS
","D1 Alapozó




 
oldószermentes

 
koncentrátum, nagyon kiadós

 
pormegkötő

 
emissziószegény, EC1-PLUS

Oldószermentes, gyenge szagú, rózsaszínű műgyanta-diszperziós alapozó nagyon jó beszívódási képességgel. Szívóképes alapfelületeknél a D1 vízzel 1:1 – 1:3 arányban hígítható. Szívóképes alapfelületek alapozására mint pl. cementesztrich, nyersbetonfödém felületekre, cementkötésű aljzatkiegyenlítők alá. Anhidriteszetricheknél csak akkor alkalmazható, ha erre páraáteresztő burkolat kerül fektetésre. Alkalmas padlófűtésnél és görgősszék terhelésnél.

Anyagszükséglet
kb. 70 - 100 g/m² az alapfelülettől függően


",171,11,\N
60521   D4 Tapadóhíd 1 kg,3680,\N," 

diszperziós alapozó

 
sokoldalúan felhasználható

 
nagyon emissziószegény EC1 Plus

 
érdes felületet képez
","D4 Tapadóhíd




 
diszperziós alapozó

 
sokoldalúan felhasználható

 
nagyon emissziószegény EC1 Plus

 
érdes felületet képez

Oldószermentes, emissziószegény, egykomponensű, kvarchomokkal töltött, felhasználásra kész, gyorsan száradó, sárgára színezett, diszperziós bázisú alapozó. Száradás után a rákerülő anyagok számára megfelelő (érdes) felületet biztosít. Használható kül- és beltérben, falra és padlóra, szívó- és nem szívóképes alapfelületek előkészítésére, valamint régi alapfelületek felújításainál is.

Anyagszükséglet
kb. ​100 - 150 g/m² az alapfelület egyenetlenségétől függően


",172,11,\N
60526   D4 Tapadóhíd rapid 5 kg,16360,\N," 

sokoldalúan felhasználható

 
egykomponensű és nagyon emissziószegény EC1 Plus

 
nagyon gyorsan száradó alapozó

 
kvarchomokkal töltött

 
csempét csempére
","D4 Tapadóhíd Rapid




 
sokoldalúan felhasználható

 
egykomponensű és nagyon emissziószegény EC1 Plus

 
nagyon gyorsan száradó alapozó

 
kvarchomokkal töltött

 
csempét csempére

Oldószermentes, egykomponensű, felhasználásra kész, nagyon gyorsan száradó, sárgára színezett, diszperziós bázisú alapozó, kül- és beltérben, falra és padlóra. Száradás után a rákerülő anyagok számára megfelelő (érdes) felületet biztosít. Szívó- és nem szívóképes alapfelületek előkészítésére. Alkalmas Murexin aljzatkiegyenlítőkkel történő kiegyenlítések előtt, valamint burkolás előtt és felújításoknál. Különösen alkalmas csempét csempére történő felújításoknál. A D4 Tapadóhíd Rapid alkalmazható anhidrit esztricheken alapozóként 10 000 cm²-es (pl.: 100 x 100 cm) csempemérettől (további információ a műszaki adatlaban). Megfelel az ÖNORM B 3407 W1-W2 szabványnak.

Anyagszükséglet
Nem szívóképes alapfelületnél: kb. 0,10 - 0,15 kg/m² az alapfelülettől függően Szívóképes alapfelületnél: kb. 0,08 - 0,135 kg/m² az alapfelülettől függően


Szín
sárga


",173,11,\N
15958   DB 60 Profi hajlaterősítő szalag 50fm/tekercs fm,895,\N," 

vízzáró

 
kétoldalt filckasírozott

 
széleknél perforált
","DB 60 Profi Hajlaterősítő szalag




 
vízzáró

 
kétoldalt filckasírozott

 
széleknél perforált

Kétoldali filckasírozással rendelkezik és nagyon elasztikus hajlaterősítő szalag. A hajlaterősítő szalag szélei perforáltak a Murexin kenhető vízszigetelésekbe történő optimális vízzáró beágyazáshoz. Falon és padlón a fugacsatlakozások és a sarokfugák áthidalására és szigetelésére használható, mint a kenhető vízszigetelések rendszereleme.

Anyagszükséglet
néhány cm átfedéssel számolva


Szín
szürke


",174,11,\N
60505   DX 9 Speciális tapadóhíd 1 kg,4415,\N," 

univerzális felhasználás

 
gyors száradás

 
csekély anyagszükséglet

 
szinte minden alapfelületre
","DX 9 Speciális tapadóhíd




 
univerzális felhasználás

 
gyors száradás

 
csekély anyagszükséglet

 
szinte minden alapfelületre

Tapadásjavító, egykomponensű, felhasználásra kész, oldószermentes speciális diszperziós bázisú alapozó. A száradási idő betartása után egy enyhén ragadós felületet képez, amely azonnal burkolható. Szívó- és nem szívóképes alapfelületek előkészítésére bel- és fedett kültérben. Mélyalapozóként alkalmas szívó és ásványi alapfelületekre, mint pl. cement-, anhidrit- és magnezitesztrich (padlófűtésnél is). Nem alkalmas PUR festett és csiszolatlan, valamint Conti-Finish-el kezelt OSB lapokra.

Anyagszükséglet
kb. 50 - 70 g/m² az alapfelület szívóképességétől függően


Szín
lila


",175,11,\N
60507   DX 9 Speciális tapadóhíd 10 kg,34935,\N," 

univerzális felhasználás

 
gyors száradás

 
csekély anyagszükséglet

 
szinte minden alapfelületre
","DX 9 Speciális tapadóhíd




 
univerzális felhasználás

 
gyors száradás

 
csekély anyagszükséglet

 
szinte minden alapfelületre

Tapadásjavító, egykomponensű, felhasználásra kész, oldószermentes speciális diszperziós bázisú alapozó. A száradási idő betartása után egy enyhén ragadós felületet képez, amely azonnal burkolható. Szívó- és nem szívóképes alapfelületek előkészítésére bel- és fedett kültérben. Mélyalapozóként alkalmas szívó és ásványi alapfelületekre, mint pl. cement-, anhidrit- és magnezitesztrich (padlófűtésnél is). Nem alkalmas PUR festett és csiszolatlan, valamint Conti-Finish-el kezelt OSB lapokra.

Anyagszükséglet
kb. 50 - 70 g/m² az alapfelület szívóképességétől függően


Szín
lila


",175,11,\N
60506   DX 9 Speciális tapadóhíd 3 kg,11260,\N,"
univerzális felhasználás

 
gyors száradás

 
csekély anyagszükséglet

 
szinte minden alapfelületre
","DX 9 Speciális tapadóhíd




 
univerzális felhasználás

 
gyors száradás

 
csekély anyagszükséglet

 
szinte minden alapfelületre

Tapadásjavító, egykomponensű, felhasználásra kész, oldószermentes speciális diszperziós bázisú alapozó. A száradási idő betartása után egy enyhén ragadós felületet képez, amely azonnal burkolható. Szívó- és nem szívóképes alapfelületek előkészítésére bel- és fedett kültérben. Mélyalapozóként alkalmas szívó és ásványi alapfelületekre, mint pl. cement-, anhidrit- és magnezitesztrich (padlófűtésnél is). Nem alkalmas PUR festett és csiszolatlan, valamint Conti-Finish-el kezelt OSB lapokra.

Anyagszükséglet
kb. 50 - 70 g/m² az alapfelület szívóképességétől függően


Szín
lila


",175,11,\N
"6345  EP 70 BM Többcélú epoxigyanta B komponens 1,5 kg",\N,\N," 

alacsony viszkozitású

 
univerzálisan használható
","EP 70 BM Többcélú epoxigyanta




 
alacsony viszkozitású

 
univerzálisan használható

Alacsony viszkozitású, modifikált, oldószermentes, pigmentmentes, kemény epoxigyanta rendszerű, kétkomponensű univezális bevonat, univerzális építőipari felhasználásokhoz (kül- és beltérben alkalmazható). Az anyag emissziószegény és a felület feltölthető kvarchomokkal.

Anyagszükséglet
alapozóként: kb. 0,3 kg/m² glettelt bevonatként: kb. 0,7 kg/m²/mm 1:1 - 1:2 keverési arány között 0,1-0,4 mm / 0,2-0,6 mm / 0,4-1,0 mm kvarchomokkal keverve habarcsként: kb. 3 kg/m²/cm 1:7 arányú kvarchomokkal keverve 0,1-2,5 mm párazáróként: kb. 0,45 kg/m²


Szín
átlátszó


",176,11,\N
6341  EP 70 BM  A komponens ( A+B szett ár ) 3 kg,46260,\N," 

alacsony viszkozitású

 
univerzálisan használható
","EP 70 BM Többcélú epoxigyanta




 
alacsony viszkozitású

 
univerzálisan használható

Alacsony viszkozitású, modifikált, oldószermentes, pigmentmentes, kemény epoxigyanta rendszerű, kétkomponensű univezális bevonat, univerzális építőipari felhasználásokhoz (kül- és beltérben alkalmazható). Az anyag emissziószegény és a felület feltölthető kvarchomokkal.

Anyagszükséglet
alapozóként: kb. 0,3 kg/m² glettelt bevonatként: kb. 0,7 kg/m²/mm 1:1 - 1:2 keverési arány között 0,1-0,4 mm / 0,2-0,6 mm / 0,4-1,0 mm kvarchomokkal keverve habarcsként: kb. 3 kg/m²/cm 1:7 arányú kvarchomokkal keverve 0,1-2,5 mm párazáróként: kb. 0,45 kg/m²


Szín
átlátszó


",176,11,\N
15994  ERY 92 Fugafátyol eltávolító 1 l,16415,\N,\N,"ERY 92 Epoxi fugafátyol eltávolító


Oldószertartalmú, savas tisztító. Tisztítószer az epoxigyanta fátyol eltávolításához, mely a reakciógyanta bázisú fugázóhabarcs munkálatainál kerámia csempén, vagy üvegmozaikon jelenik meg. Alkalmas saválló (akár érdes felületű) természetes kövekhez is.

Szín
áttetsző


",177,11,\N
"11618  FM 60 Prémium fugázó, cementszürke 2 kg",2130,\N," 

finom fugakép

 
vízlepergető

 
víz- és szennyeződés taszító

 
gombásodásnak ellenál

 
porzáscsökkentett
","FM 60 PRÉMIUM fugázó




 
finom fugakép

 
vízlepergető

 
víz- és szennyeződés taszító

 
gombásodásnak ellenál

 
porzáscsökkentett

Poralakú, élelmiszerbarát, fény-, víz- és fagyálló, finom szemszerkezetű, nagy szilárdságú, vízlepergető flexibilis fugázóhabarcs. Egyenletesen húzható és könnyen bedolgozható a fugába. A magas kopásállóságú fugázóanyag alacsony vízfelvétele megakadályozza a foltképződést. Kül- és beltérben 7 mm fugaszélességig. Víz és szennyeződéstaszító. Alkalmas kerámiacsempékhez, burkolólapokhoz, mozaikokhoz, valamint greslapokhoz. Padlófűtés esetén, valamint vizes helyiségekben is alkalmazható. Falra és padlóra, valamint teraszra és erkélyre is használható.

Anyagszükséglet
kb. 0,2 - 0,9 kg/m²csempe és fugamérettől függően


Szín
lásd a műszaki adatlap függelékében


",164,11,\N
14771  FP 100 Parketta fugázó anyag 310 ml,2390,\N," 

szilikonmentes

 
gyors száradás
","FP 100 Parketta fugázó anyag




 
szilikonmentes

 
gyors száradás

Szilikon- és oldószermentes, gyorsan száradó, csiszolható, akrilbázisú fugázóanyag. Az összes Murexin parkettalakkal átvonható. Különböző fajta fapadlók széles fugáinak lezárására beltérben. Alkalmas szegélylécekhez és más csatlakozásokhoz is.

Anyagszükséglet
szükség szerint


Szín
világos tölgy, sötét tölgy, bükk, európai juhar, kőris/lucfenyő, gőzölt bükk, cseresznye/dió, egzótafák sötét, wenge/füstölt tölgy


",182,11,\N
31536  FX 66 Platinum flexfugázó 6 kg,6760,\N,"
kül- és beltérben

 
falra és padlóra

 
magas flexibilitás, kopásálló és vízlepergető

 
természetes kövekhez és greslapokhoz is

 
1 - 10 mm fugaszélességig
","FX 66 PLATINUM Flexfugázó




 
kül- és beltérben

 
falra és padlóra

 
magas flexibilitás, kopásálló és vízlepergető

 
természetes kövekhez és greslapokhoz is

 
1 - 10 mm fugaszélességig

Poralakú, élelmiszerbarát, víz- és fagyálló, finom szemszerkezetű, nagy szilárdságú, vízlepergető flexibilis fugázóhabarcs. Egyenletesen és gyorsan húzható, valamint könnyen és egyszerűen bedolgozható a fugába, akkor is ha nem szívóképes a burkolat. Gyors és egyszerű feldolgozás lehetséges. A magas kopásállóságú fugázóanyag alacsony vízfelvétele megakadályozza a foltképződést. Kül- és beltérben 1-10 mm fugaszélességig falra és padlóra alkalmazható. Víz- és szennyeződéstaszító. Alkalmas kerámiacsempékhez, burkolólapokhoz, mozaikokhoz, valamint természetes kövekhez és greslapokhoz. Padlófűtésnél, valamint vizes helyiségekben, teraszra és erkélyre is alkalmazható.

Anyagszükséglet
​~ 0,2 - 0,9 kg/m² csempe és fugamérettől függően Anyagszükséglet kalkulátor a www.murexin.hu webhelyen.


Szín
szürke, fehér, ezüstszürke, manhattan, cementszürke, jázmin, bahama, selyemszürke, mogyorókrém, homokszürke, camel, szaniter szürke, mogyoróbarna, bali, bazalt, antracit, fekete


",183,11,\N
